iteration, target_sr_loss, target_sr_vgg_loss, tar_hf_loss, ref_loss, ref_vgg_loss, loss_tar_lr, loss_tar_lr_vgg, loss_interpo, loss_tv, loss_ref_hf, total_loss, loss_ref_gv, total_loss, 20240501-150436
im_1,
50-whole, 26.27111, 1.33086, 24.86981, 27.60196
100-whole, 45.51490, 1.73130, 44.39284, 47.24619
150-whole, 27.42277, 1.29800, 29.62708, 28.72077
200-whole, 17.46414, 0.90487, 19.51398, 18.36901
250-whole, 23.55426, 1.03022, 25.70031, 24.58448
300-whole, 60.38921, 3.92941, 63.08480, 64.31862
350-whole, 3.70286, 0.68176, 2.73062, 4.38462
400-whole, 2.82393, 0.63365, 2.21183, 3.45758
450-whole, 2.70199, 0.59345, 2.10951, 3.29544
500-whole, 3.48354, 0.56510, 2.45554, 4.04863
550-whole, 4.74177, 0.54773, 3.39964, 5.28951
600-whole, 3.86624, 0.51128, 2.66299, 4.37752
650-whole, 9.58928, 0.48725, 11.50544, 10.07653
700-whole, 1.65084, 0.43837, 2.89754, 2.08921
750-whole, 1.50743, 0.42356, 2.62641, 1.93099
800-whole, 3.00626, 0.42863, 1.97777, 3.43490
850-whole, 1.46778, 0.40783, 2.18886, 1.87561
900-whole, 1.73650, 0.39501, 3.09277, 2.13152
950-whole, 1.51934, 0.38625, 2.74825, 1.90559
1000-whole, 1.42133, 0.37742, 2.55110, 1.79875
1050-whole, 1.40828, 0.36718, 2.54911, 1.77547
1100-whole, 1.34800, 0.35794, 2.38081, 1.70594
1150-whole, 1.33085, 0.35078, 2.34140, 1.68162
1200-whole, 1.34173, 0.34783, 2.41773, 1.68956
1250-whole, 1.37853, 0.34450, 2.53877, 1.72303
1300-whole, 1.36946, 0.34166, 2.52402, 1.71112
1350-whole, 1.40119, 0.33854, 2.60413, 1.73974
1400-whole, 1.30274, 0.33702, 2.19571, 1.63976
1450-whole, 1.29475, 0.33371, 2.23502, 1.62846
1500-whole, 1.28917, 0.33059, 2.22137, 1.61976
1550-whole, 1.30409, 0.32778, 2.37645, 1.63187
1600-whole, 1.31691, 0.32679, 2.42611, 1.64369
1650-whole, 1.30736, 0.32602, 2.39746, 1.63337
1700-whole, 1.33618, 0.32485, 2.48713, 1.66102
1750-whole, 1.30971, 0.32418, 2.41352, 1.63389
1800-whole, 1.30427, 0.32325, 2.39922, 1.62752
1850-whole, 1.31309, 0.32216, 2.43188, 1.63525
1900-whole, 1.32563, 0.32103, 2.47089, 1.64666
1950-whole, 1.28855, 0.32071, 2.35229, 1.60925
2000-whole, 1.28272, 0.32054, 2.32620, 1.60326
2050-whole, 1.30476, 0.31999, 2.41446, 1.62475
2100-whole, 1.30548, 0.31970, 2.41785, 1.62519
2150-whole, 1.28959, 0.31961, 2.36280, 1.60920
2200-whole, 1.29277, 0.31929, 2.37664, 1.61206
2250-whole, 1.29088, 0.31902, 2.37093, 1.60989
2300-whole, 1.29243, 0.31870, 2.37827, 1.61114
2350-whole, 1.29135, 0.31849, 2.37539, 1.60984
2400-whole, 1.29713, 0.31833, 2.39638, 1.61546
2450-whole, 1.28233, 0.31844, 2.33886, 1.60077
2500-whole, 1.28739, 0.31829, 2.36119, 1.60568
2550-whole, 1.29672, 0.31808, 2.39607, 1.61480
2600-whole, 1.28527, 0.31814, 2.35342, 1.60341
2650-whole, 1.28576, 0.31804, 2.35599, 1.60380
2700-whole, 1.29270, 0.31786, 2.38320, 1.61057
2750-whole, 1.29715, 0.31774, 2.39896, 1.61489
2800-whole, 1.29344, 0.31776, 2.38626, 1.61120
2850-whole, 1.29212, 0.31775, 2.38163, 1.60987
2900-whole, 1.29249, 0.31772, 2.38308, 1.61021
2950-whole, 1.29218, 0.31770, 2.38211, 1.60988
3000-whole, 1.29198, 0.31768, 2.38151, 1.60966
